BioClimVar,Bioclim Variable,Units
bio1,Annual Mean Temperature,C
bio2,Mean Diurnal Range (Mean of monthly (max temp - min temp)),C
bio3,Isothermality (BIO2/BIO7) (* 100),Percent
bio4,Temperature Seasonality (standard deviation *100),Standard Deviation
bio5,Max Temperature of Warmest Month,C
bio6,Min Temperature of Coldest Month,C
bio7,Temperature Annual Range (BIO5-BIO6),C
bio8,Mean Temperature of Wettest Quarter,C
bio9,Mean Temperature of Driest Quarter,C
bio10,Mean Temperature of Warmest Quarter,C
bio11,Mean Temperature of Coldest Quarter,C
bio12,Annual Precipitation,mm
bio13,Precipitation of Wettest Month,mm
bio14,Precipitation of Driest Month,mm
bio15,Precipitation Seasonality (Coefficient of Variation),Coefficient Variation
bio16,Precipitation of Wettest Quarter,mm
bio17,Precipitation of Driest Quarter,mm
bio18,Precipitation of Warmest Quarter,mm
bio19,Precipitation of Coldest Quarter,mm
