system_name,type,NS.Map.Value.code,ELEMENT_GLOBAL_ID,ELCODE,ELSF_CD,BPS_area_system_sq_KM
Central Tallgrass Prairie,Central Tallgrass Prairie,7421,722976,CES205.683,7134,241651.1556
Columbia Plateau Western Juniper Woodland and Savanna,Columbia Plateau Western Juniper Woodland and Savanna,7017,740155,CES304.082,4204,7901.0883
Great Basin Pinyon-Juniper Woodland,Great Basin Pinyon Juniper Woodland,7019,722899,CES304.773,4206,22745.7234
Great Basin Xeric Mixed Sagebrush Shrubland,Great Basin Xeric Mixed Sagebrush Shrubland,7079,722898,CES304.774,5256,62531.1171
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland,7061,722896,CES304.776,4302,27965.5092
Inter-Mountain Basins Big Sagebrush Shrubland,Inter Mountain Basins Big Sagebrush Shrubland,7080,722895,CES304.777,5257,282536.1486
Inter-Mountain Basins Big Sagebrush Steppe,Inter Mountain Basins Big Sagebrush Steppe,7125,722894,CES304.778,5454,181241.4852
Inter-Mountain Basins Mat Saltbush Shrubland,Inter Mountain Basins Mat Saltbush Shrubland,7066,722889,CES304.783,5203,10939.5846
Inter-Mountain Basins Mixed Salt Desert Scrub,Inter Mountain Basins Mixed Salt Desert Scrub,7081,722888,CES304.784,5258,96871.1967
Inter-Mountain Basins Montane Sagebrush Steppe,Inter Mountain Basins Montane Sagebrush Steppe,7126,722887,CES304.785,5455,85442.3397
North-Central Interior Beech-Maple Forest,North Central Interior Beech Maple Forest ,7313,722966,CES202.693,4119,83328.2964
North-Central Interior Dry-Mesic Oak Forest and Woodland,North Central Interior Dry Mesic Oak Forest and Woodland,7310,722663,CES202.046,4116,141605.9334
Northwestern Great Plains Mixedgrass Prairie,Northwestern Great Plains Mixedgrass Prairie,7141,722984,CES303.674,7114,425532.0987
Ozark-Ouachita Dry Oak Woodland,Ozark Ouachita Dry Oak Woodland,7364,722953,CES202.707,4306,58336.0137
Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Rocky Mountain Gambel Oak Mixed Montane Shrubland,7107,722855,CES306.818,5313,19905.7419
Southeastern Great Plains Tallgrass Prairie,Southeastern Great Plains Tallgrass Prairie,7423,722974,CES205.685,7136,108029.6757
Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland,7051,722850,CES306.823,4238,15486.9894
Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,7052,722848,CES306.825,4239,8992.6605
Southern Rocky Mountain Montane-Subalpine Grassland,Southern Rocky Mountain Montane Subalpine Grassland,7146,722849,CES306.824,7119,3086.9586
Southern Rocky Mountain Ponderosa Pine Woodland,Southern Rocky Mountain Ponderosa Pine Woodland,7054,797980,CES306.648,4241,38899.4481
Western Great Plains Foothill and Piedmont Grassland,Western Great Plains Foothill and Piedmont Grassland,7147,722856,CES303.817,7120,12692.0763
Western Great Plains Shortgrass Prairie,Western Great Plains Shortgrass Prairie,7149,722986,CES303.672,7122,259073.154
Central Mixedgrass Prairie,Central Mixedgrass Prairie,7132,722976,CES205.689,7104,258931.6956
Northern Tallgrass Prairie,Northern Tallgrass Prairie,7420,722973,CES205.686,7133,148502.0385
