"","system_name","SqKM_system_ecoregion"
"1","Central_Tallgrass_Prairie",241651.1556
"2","Columbia_Plateau_Western_Juniper_Woodland_and_Savanna",7901.0883
"3","Great_Basin_Pinyon_Juniper_Woodland",22745.7234
"4","Great_Basin_Xeric_Mixed_Sagebrush_Shrubland",62531.1171
"5","Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",27965.5092
"6","Inter_Mountain_Basins_Big_Sagebrush_Shrubland",282536.1486
"7","Inter_Mountain_Basins_Big_Sagebrush_Steppe",181241.4852
"8","Inter_Mountain_Basins_Mat_Saltbush_Shrubland",10939.5846
"9","Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",96871.1967
"10","Inter_Mountain_Basins_Montane_Sagebrush_Steppe",85442.3397
"11","North_Central_Interior_Beech_Maple_Forest_",83328.2964
"12","North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",141605.9334
"13","Northwestern_Great_Plains_Mixedgrass_Prairie",425532.0987
"14","Ozark_Ouachita_Dry_Oak_Woodland",58336.0137
"15","Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",19905.7419
"16","Southeastern_Great_Plains_Tallgrass_Prairie",108029.6757
"17","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",15486.9894
"18","Southern_Rocky_Mountain_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",8992.6605
"19","Southern_Rocky_Mountain_Montane_Subalpine_Grassland",3086.9586
"20","Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",38899.4481
"21","Western_Great_Plains_Foothill_and_Piedmont_Grassland",12692.0763
"22","Western_Great_Plains_Shortgrass_Prairie",259073.154
